,id,name,start_date_local,type,distance,moving_time,elapsed_time,total_elevation_gain,end_latlng,external_id,average_watts,weighted_average_watts,max_watts,average_cadence,suffer_score,average_speed,max_speed,average_temp
113,5934493838,Evening Ride,2021-09-09T18:04:52Z,Ride,20484.5,2622,2644,264.0,"[40.725943, -75.233011]",7cafaf2c-61c1-4c0c-9dd6-b6a20b795439.fit,177.3,238,520,74.4,0,7.813,15.0,19
114,5929456649,Evening Ride,2021-09-08T18:16:48Z,Ride,26212.9,3266,3508,384.0,"[40.726297, -75.232856]",c49528c3-b582-438f-b9ec-475651f8fb45.fit,190.1,211,428,75.2,67.0,8.026,16.6,23
115,5923834686,Evening Ride,2021-09-07T18:39:32Z,Ride,24180.5,3048,3110,409.0,"[40.726236, -75.232879]",024a6985-f72f-4ac8-8c33-21e24c1a8e66.fit,184.1,236,633,75.8,45.0,7.933,16.7,20
116,5917230977,Afternoon Ride,2021-09-06T13:02:13Z,Ride,64950.4,7748,8527,882.0,"[40.725277, -75.233124]",0d1f521c-d78c-4aa5-82a5-8bc36da33aac.fit,210.0,223,474,84.0,169.0,8.383,18.3,26
117,5906458263,Afternoon Ride,2021-09-04T17:49:54Z,Ride,5919.0,839,839,128.0,"[40.725826, -75.233088]",e13435e2-30e4-428e-b704-0f365606fa75.fit,191.4,218,566,73.2,14.0,7.055,15.4,23
118,5906458533,Afternoon Ride,2021-09-04T17:04:05Z,Ride,20369.7,1815,1815,176.0,"[40.690155, -75.209091]",adb9ff4a-3409-4e34-80c0-e59859285523.fit,241.7,259,806,85.4,62.0,11.223,15.5,25
119,5906458763,Afternoon Ride,2021-09-04T16:14:36Z,Ride,6621.5,962,2034,87.0,"[40.689976, -75.205498]",2c1b67a5-657a-46c9-bd3f-6660b885e4d4.fit,127.4,165,383,62.2,16.0,6.883,17.0,25
120,5905382198,Lunch Ride,2021-09-04T12:04:47Z,Ride,23487.4,3399,3996,230.0,"[40.725973, -75.232846]",94f6fcfb-686c-4710-bf84-b0ec080fad7b.fit,139.1,178,512,67.5,21.0,6.91,13.4,26
121,5898736282,Evening Ride,2021-09-02T18:25:34Z,Ride,21612.6,2786,3020,299.0,"[40.726002, -75.232819]",2021-09-02-222533-ELEMNT BOLT 7531-249-0.fit,163.5,219,559,73.5,0,7.758,15.2,20
122,5885141586,Evening Ride,2021-08-31T18:35:20Z,Ride,27252.2,3342,3342,412.0,"[40.726208, -75.232925]",2021-08-31-223519-ELEMNT BOLT 7531-246-0.fit,177.7,230,563,75.7,63.0,8.154,17.2,22
123,5879601389,Evening Ride,2021-08-30T18:42:10Z,Ride,27715.5,3482,3525,335.0,"[40.726011, -75.233056]",11cad174-53a5-400d-870a-4ad52ca27984.fit,163.2,215,526,75.8,83.0,7.96,14.9,25
124,5859472932,Evening Run,2021-08-26T18:55:37Z,Run,3228.5,937,937,33.5,"[38.90831, -77.084841]",garmin_push_7376687407,0,0,0,78.0,18.0,3.446,3.9,0
125,5855809421,Morning Ride,2021-08-26T06:18:20Z,Ride,42238.9,4353,4448,68.0,"[38.907949, -77.083877]",2021-08-26-101819-ELEMNT BOLT 7531-244-0.fit,165.8,204,629,78.2,0,9.703,15.6,23
126,5850271493,Evening Run,2021-08-24T18:22:30Z,Run,6450.6,1742,1959,60.5,"[38.90868, -77.085581]",garmin_push_7366899498,0,0,0,78.4,73.0,3.703,5.4,0
127,5844546601,Morning Ride,2021-08-24T06:42:07Z,Ride,34936.6,3985,4275,63.0,"[38.907933, -77.083821]",2021-08-24-104207-ELEMNT BOLT 7531-243-0.fit,159.1,191,438,75.8,0,8.767,13.1,22
128,5842077424,Afternoon Ride,2021-08-23T17:26:58Z,Ride,35159.3,4128,4347,66.0,"[38.907925, -77.083954]",2021-08-23-212658-ELEMNT BOLT 7531-242-0.fit,164.5,201,472,76.3,0,8.517,13.0,30
129,5837177785,Afternoon Ride,2021-08-22T16:51:11Z,Ride,31282.8,4133,4196,138.0,"[38.908615, -77.08426]",2021-08-22-205111-ELEMNT BOLT 7531-241-0.fit,136.6,177,464,67.4,0,7.569,12.8,26
130,5835836814,Morning Ride,2021-08-21T07:29:34Z,Ride,73370.1,7789,14570,725.0,"[38.907966, -77.083975]",2021-08-21-112934-ELEMNT BOLT 7531-240-0.fit,175.4,215,734,81.4,0,9.42,20.2,23
131,5821484627,Afternoon Ride,2021-08-19T17:24:56Z,Ride,69340.8,7161,12177,146.0,"[38.908558, -77.084457]",2021-08-19-212455-ELEMNT BOLT 7531-239-0.fit,172.1,212,788,77.9,187.0,9.683,15.6,27
